State,Indian population
California,"528,120"
New York,"313,620"
New Jersey,"292,256"
Texas,"245,981"
Illinois,"188,328"
Florida,"128,735"
Virginia,"103,916"
Pennsylvania,"103,026"
Georgia,"96,116"
Maryland,"79,051"
Massachusetts,"77,177"
Michigan,"77,132"
Ohio,"64,187"
Washington,"61,124"
North Carolina,"57,400"
Connecticut,"46,415"
Arizona,"36,047"
Minnesota,"33,031"
Indiana,"27,598"
Tennessee,"23,900"
Missouri,"23,223"
Wisconsin,"22,899"
Colorado,"20,369"
Oregon,"16,740"
South Carolina,"15,941"
Kansas,"13,852"
Alabama,"13,036"
Kentucky,"12,501"
Oklahoma,"11,906"
Nevada,"11,671"
Delaware,"11,424"
Louisiana,"11,174"
Iowa,"11,081"
New Hampshire,"8,268"
Arkansas,"7,973"
Utah,"6,212"
Nebraska,"5,903"
Mississippi,"5,494"
"Washington, D.C.","5,214"
Rhode Island,"4,653"
New Mexico,"4,550"
Puerto Rico,"3,523"
West Virginia,"3,304"
Hawaii,"2,201"
Idaho,"2,152"
Maine,"1,959"
North Dakota,"1,543"
Vermont,"1,359"
Alaska,"1,218"
South Dakota,"1,152"
Montana,618
Wyoming,589